stop_id,mistaken_stop_name,corrected_stop_name
3106,පාලමුනෙයි පාලමුනෙයි,පාලමුනෙයි
3117,වැලිකන්ද වැලිකන්ද,වැලිකන්ද
3134,කුරුළුබැද්ද කුරුළුබැද්ද,කුරුළුබැද්ද
3151,දෙහිපේ දෙහිපේ,දෙහිපේ
3155,සිප්පිතිරල් සිප්පිතිරල්,සිප්පිතිරල්
3180,රයිගම් ලුණු රයිගම් ලුණු,රයිගම් ලුණු
3414,පල්ලේකන්ද පල්ලේකන්ද,පල්ලේකන්ද
3424,ඉඹුල්පේ ඉඹුල්පේ,ඉඹුල්පේ
3451,කොස්ලන්ද කොස්ලන්ද,කොස්ලන්ද
3463,ගල්කන්ද ගල්කන්ද,ගල්කන්ද
3752,කොබෙයිගනේ කොබෙයිගනේ,කොබෙයිගනේ
3773,හපුතලේ හපුතලේ,හපුතලේ
3822,ගාමිණී හෝල් ගාමිණී හෝල්,ගාමිණී හෝල්
3830,5 කණුව / නිව්බර්ග් 5 කණුව / නිව්බර්ග්,5 කණුව / නිව්බර්ග්
3843,19 කණුව / ගෝනකැලේ 19 කණුව / ගෝනකැලේ,19 කණුව / ගෝනකැලේ
3873,කෝප්පකන්ද කෝප්පකන්ද,කෝප්පකන්ද
3916,හෝලික්‍රොස් හෝලික්‍රොස්,හෝලික්‍රොස්
3954,සුරියකන්ද සුරියකන්ද,සුරියකන්ද
3963,බුත්කන්ද බුත්කන්ද,බුත්කන්ද
4152,හිපන්කන්ද හිපන්කන්ද,හිපන්කන්ද
4175,හයිඩ‍්‍රාමනී හයිඩ‍්‍රාමනී,හයිඩ‍්‍රාමනී
4195,තපස්සරකන්ද තපස්සරකන්ද,තපස්සරකන්ද
4208,කොඩිප්පිලි කන්ද කොඩිප්පිලි කන්ද,කොඩිප්පිලි කන්ද
4412,වෙල්ලමුල්ලිවයික්කාල් වෙල්ලමුල්ලිවයික්කාල්,වෙල්ලමුල්ලිවයික්කාල්
4416,පුලියන්කුලම් කුලක්කඩ්ඩු පුලියන්කුලම් කුලක්කඩ්ඩු,පුලියන්කුලම් කුලක්කඩ්ඩු
