stop_id,stop_name
3271,දෑකැතිපොතාන හංදිය
3272,කිඹුල් පැටියාව 16 කි.මි
3273,ඕලුවැව විදුහල
3274,දෙමටවැව
3275,තිඹිරිවැව පන්සල හංදිය
3276,ඇල්ල පොතාන (වහගහපුවැව විදුහල)
3277,වහගහසුවැව හංදිය
3278,කන්හිද්දවැව 9කි.මි
3279,පුලියන් කඩවල හංදිය/විද්‍යාලය
3280,නාම්බාකඩ හංදිය
3281,නමඩ වැව හංදිය
3282,වලහිද්දවැව හංදිය
3283,දියකිරිත්ත හංදිය
3284,හාපැටියාව සපත්තු පාලම
3285,හාපැටියාව පෙර පාසල
3286,1 කණුව (2වන පුල්ලෙයාර් හංදිය)
3287,කලුන්දෑගම පන්සල
3288,සිරිමාපුර හංදිය
3289,4 කණුව (නවසිරිගම හංදිය)
3290,5 කණුව (ටකරන්කඩේ හංදිය)
3291,යාය 6 (අංගමුව දියවර ගම්මාන පාර)
3292,තුඹුල්ලේගම
3293,ගැමුණුපුර/යාය 8 (පොම්පාගාරය)
3294,යාය 9 (රාජාංගනය රෝහල පාර)
3295,යාය 13 (බෝධිරුක්ඛාරාම පන්සල)
3296,කලාඔය (යාය 14)
3297,කදුරුදූව
3298,කලභෙ
3299,මැලැහැගොඩ
3300,පිලාන හන්දිය
3301,බෝගහගොඩ හන්දිය
3302,අගුළුගහ
3303,වතවන
3304,පරගොඩ
3305,ඉමදූව බස් නැවතුම්පොල
3306,කනංකෙ
3307,නිමලව
3308,තෙපුදෙනිය
3309,භෙනේගම
3310,කියාඬුව
3311,අමලගොඩ හන්දිය
3312,අකුරැස්ස බස් නැවතුම්පොල
3313,පෝරඹ
3314,මාරඹ පන්සල
3315,ඉදිකටුදෙනිය වැව
3316,දීගල හන්දිය
3317,කදුරුවාන විදුහල
3318,මල්පුදනැල්ල හන්දිය
3319,පිටබැද්දර
3320,ගොරකවෙල
3321,කන්දෙ දොල
3322,අතු ඇල
3323,56 කි.මී. කණූව
3324,කොස්නිල්ගොඩ කඩමංඩිය
3325,වැලිව
3326,හිගුරුපනාගල හන්දිය
3327,ගොඩකුඹුර
3328,දියදාව
3329,ඕලකන්ද (දෙණියාය වත්ත)
3330,පෝරතොට කණිෂ්ඨ විද්‍යාලය
3331,තලහගම සමුපකාරය
3332,කජ්ජුහේන හංදිය/5කිමි කණුව
3333,නුගේගාව/කන්ද මුදුන
3334,කොබෝමෑල්ල ප‍්‍රජාශාලාව
3335,බේරුබැවුලවත්ත බැම්ම
3336,රත්ගහවත්ත තේ පර්යේෂණායතනය
3337,පල්ලිය
3338,ගොමදියවල හංදිය
3339,අතුරලිය මහා විහාරය
3340,පිටකටුවන හංදිය
3341,කටුපොතුවිල පන්තාරාමය 2කි.මි. කණුව
3342,බිබුලේවෙල ගම් උදාව
3343,ගම් උදාව -කද්දූව පාර හංදිය
3344,ගෝදාව පන්සල
3345,කඹුරුපිටිය
3346,ට‍්‍රාන්ස්පෝමර් හංදිය-ඕවිටිගමුව
3347,7 කණුව -ආයුර්වේද රෝහල
3348,හීල්ලකන්ද හංදිය
3349,කරයල් කනත්ත හංදිය
3350,භෙට්ටියාවල හංදිය
3351,වතුර ටැංකිය
3352,කෝපිවත්ත
3353,මහහීල්ල පන්සල
3354,කම්බුස්සාවල
3355,පුවක්දණ්ඩාව/ ධම්මපාල බාලිකා වි.
3356,සිටිනාමළුව විදුහල
3357,නලගම හංදිය(ජලසම්පාදන පාර)
3358,නෙටොල්පිටිය(විතාරන්දෙනිය පාර)
3359,වාඩිගල (මහානාග ර.ම.වි)
3360,රන්න බස්නැවතුම්පල
3361,හුංගම (අඟුණකොලපැලැස්ස පාර)
3362,කිවුල (බෝධිරාජාරාමය)
3363,ලුනම(ගොවිජනසේවා කාර්යාලය)
3364,නෝනගම හංදිය
3365,මල්පෙත්තාව හංදිය(මාමඩවල පාර)
3366,දෙහිගහලන්ද(කඩපල)
3367,කොහොලන්කල
3368,මහසෙන්පුර (කනිෂ්ඨ විද්‍යාලය)
3369,ජ්ූල් පල්ලම (රේස් කෝස්)
3370,කතිරුවාන(තැන්නපිට පාර)
3371,19 සැතපුම් කණුව
3372,බෝගහහංදිය-ගණදෙවි කෝවිල
3373,දෑරංගල
3374,එළුවිල හන්දිය
3375,කුරුස හන්දිය
3376,මහබෙල්ලන
3377,බොල්ගොඩ පන්සල
3378,ගැලණිගම
3379,රයිගම
3380,පොකුණූවිට
3381,ගල්ඒදඬුගොඩ
3382,සල්ගස් හන්දිය
3383,ගුරුගොඩ
3384,පෝරුවදණ්ඩ
3385,අපනයන සැකසුම් මධ්‍යස්ථානය
3386,ඇදුරාගල
3387,ඉංගිරිය රෝහල
3388,නම්බපාන
3389,දුම්බර හන්දිය
3390,ඇල්ලගාව
3391,මඩල
3392,එපිටවල
3393,කිරිඇල්ල
3394,ඉඩන්ගොඩ
3395,හැරනියාවක
3396,කුරුගම්මෝදර
3397,තුන්අඳහේන
3398,ගොරකා ඇළ
3399,මිල්ලකඩේ
3400,හොලීපිටිය
3401,කහන්ගම
3402,කැටලියන්පල්ල
3403,දේවාලේගාව
3404,ගල්කඩුව
3405,රත්නපුර
3406,බත්ගංගොඩ
3407,කාමරංගපිටිය
3408,මොරතොට
3409,අම්පිටිතැන්න
3410,ඕපනායක
3411,කන්දේ විහාර හන්දිය
3412,පේරකැටිය
3413,හොරකැටිය
3414,පල්ලේකන්ද පල්ලේකන්ද
3415,ඇල්ලේපොල
3416,උඩඇල්ලේපොල
3417,බලංගොඩ
3418,කිරිඳිගල
3419,ඕලූගංතොට
3420,ඇල්ලේඅරාව
3421,රත්මල්වින්න
3422,අමුපිටිය
3423,අළුත්නුවර
3424,ඉඹුල්පේ ඉඹුල්පේ
3425,සීලොගම
3426,ගලගම
3427,කරගස්තලාව
3428,පඹහින්න
3429,පුවක්ගහවෙල පාලම
3430,පුවක්ගහවෙල
3431,තුඹතැන්න
3432,හල්පේ
3433,මරංගහවෙල
3434,ඌවතැන්න
3435,කළුපහන
3436,පුස්වැලමණ්කඩ
3437,වල්හපුතැන්න
3438,හාල්අටුතැන්න
3439,හල්දුම්මුල්ල
3440,බත්ගොඩ
3441,බෙරගල
3442,බ්ලැක්වූඩ් දෙමල විද්‍යාල හන්දිය
3443,186 කි.මි. කණුව
3444,188 කි.මි. කණුව
3445,පහල ගල්කන්ද බෝගස
3446,නිකපොත පන්සල පාර
3447,අක්කර 100 හංදිය
3448,නිකපොත 195 කිමි කණුව
3449,නාකැටිය 198 කි.මි. කණුව
3450,කොස්ලන්ද දෙමල මහා විද්‍යාලය
3451,කොස්ලන්ද කොස්ලන්ද
3452,ළමා නිවාස හංදිය
3453,උඩුමුල්ලගම ගම්මාන පුවරුව
3454,දියළුම ඇල්ල
3455,207 කි.මි. කණුව
3456,ගම්පහ පාසල
3457,ගම්පහ ආයූර්වේදය
3458,හිවල්කඳුර
3459,බිබිලේභෙල දේවාලය
3460,215 කිමි කණුව/ පාලම
3461,ජල පවිත‍්‍රාගාරය(අයිස් පීල්ල)
3462,පල්ලන්ඔය හන්දිය
3463,ගල්කන්ද ගල්කන්ද
3464,දේවාලහිඳ විද්‍යාලය
3465,වලව්කඩේ
3466,ගෝනාගල පන්සල
3467,අළුත්පාර කඩමණ්ඩිය
3468,ස්ටෝරුකඩේ
3469,මාදම්පේ වතු රෝහල
3470,වෙරළුගහමුල සමුපකාරය
3471,කරංකැටිය ගොවිපොළ
3472,රක්වාන බස් නැවතුම්පොල
3473,ඇල්ටන් පාලම
3474,කිරිමණ්ඩලය
3475,පුංචිබාරවත්ත කෝවිල
3476,මහාබාරවත්ත
3477,3 වංගුව
3478,5 වංගුව
3479,7 වංගුව
3480,9 වංගුව
3481,ඉහළකඩමුදුන
3482,කඩමුදුන(ග‍්‍රාමෝදය සෞඛ්‍ය මධ්‍යස්ථානය)
3483,සූරියකන්ද කඩපල
3484,අළුත්කෑල්ල (වතු නිවාස)
3485,බුළුතොට (භෙළඋඩකන්ද පාර)
3486,තෑන්නහේන හංදිය
3487,විජේරිය සුමන මහා විද්‍යාලය
3488,අරූපෝරුව ප‍්‍රාථමික විද්‍යාලය
3489,17 කණුව (28 කි.මි. කණුව)
3490,බෝයගම
3491,හකහින්න කඩමණ්ඩිය
3492,අරන්දර බෝගස් හංදිය
3493,තොරණගහපිටිය
3494,පින්දෙනිය පොලිසිය
3495,කුරුණෑගොඩ පන්සල
3496,අම්පෙ ආදර්ශ විද්‍යාලය
3497,කොටියාකුඹුර
3498,තලෝවිට හංදිය
3499,කන්නත්තොට
3500,වරාවල
3501,අඟුරුවැල්ල
3502,රුවන්වැල්ල
3503,කහටගස්තැන්න
3504,වගාව ගාමන්ට්
3505,කාවන්තිස්සපුර විදුහල
3506,යෝධගම රෝහල පාර
3507,මාකුඹුර
3508,හිඳගොඩ
3509,බදුල්සිරිගම
3510,2 කණුව/විනීතගම හංදිය
3511,4 කණුව/138 කිමි කණුව
3512,5 කණුව/140 කිමි කණුව
3513,දෙබැද්ද හංදිය
3514,8 කණුව චෛත්‍යය
3515,තේ පර්යේෂණාගාර හංදිය
3516,නමුණුකුල හංදිය
3517,කිරිමණ්ඩල හංදිය
3518,පස්සර
3519,දෙමල මහාවිද්‍යාලය
3520,මොණරාගල/බිබිල හංදිය
3521,අමුණුවත්ත දේවාලය
3522,මීදුම්පිටිය මධ්‍යම බෙභෙත් ශාලාව
3523,මීදුම්පිටිය කඩමණ්ඩිය
